관측소명:완도
위도:34.315556
경도:126.759722
관측시간	조위(cm)	수온(℃)	염분(PSU)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	
2021-01-01 00:35:00	243	9.60	32.80	-	-	-	-	2.3	북서	312	1.1	1025.5	-	
2021-01-01 00:36:00	240	9.60	32.90	-	-	-	-	1.9	북서	313	1.3	1025.5	-	
2021-01-01 00:37:00	240	9.60	32.90	-	-	-	-	2.2	서북서	294	1.2	1025.5	-	
2021-01-01 00:38:00	239	9.60	32.90	-	-	-	-	2.7	북서	307	1.3	1025.5	-	
2021-01-01 00:39:00	239	9.60	32.90	-	-	-	-	1.7	서	275	1.3	1025.5	-	
2021-01-01 00:40:00	239	9.60	32.90	-	-	-	-	2.7	서	279	1.2	1025.5	-	
2021-01-01 00:41:00	237	9.60	32.90	-	-	-	-	1.0	북서	322	1.2	1025.5	-	
2021-01-01 00:42:00	236	9.60	32.90	-	-	-	-	2.7	북서	312	1.2	1025.5	-	
2021-01-01 00:43:00	234	9.60	32.90	-	-	-	-	2.4	북서	312	1.3	1025.5	-	
2021-01-01 00:44:00	234	9.60	32.90	-	-	-	-	2.0	북서	310	1.3	1025.5	-	
2021-01-01 00:45:00	234	9.70	32.80	-	-	-	-	3.0	북북서	333	1.5	1025.5	-	
2021-01-01 00:46:00	233	9.70	32.80	-	-	-	-	4.5	북북서	346	1.4	1025.5	-	
2021-01-01 00:47:00	231	9.70	32.80	-	-	-	-	2.5	서북서	285	1.3	1025.6	-	
2021-01-01 00:48:00	229	9.70	32.80	-	-	-	-	2.7	서북서	299	1.3	1025.6	-	
2021-01-01 00:49:00	228	9.70	32.80	-	-	-	-	4.0	북서	314	1.1	1025.5	-	
2021-01-01 00:50:00	228	9.70	32.80	-	-	-	-	3.1	북	349	1.1	1025.6	-	
2021-01-01 00:51:00	229	9.70	32.80	-	-	-	-	5.7	북	350	1.2	1025.6	-	
2021-01-01 00:52:00	227	9.70	32.80	-	-	-	-	2.7	북서	323	1.4	1025.5	-	
2021-01-01 00:53:00	227	9.70	32.80	-	-	-	-	3.5	북서	310	1.3	1025.5	-	
2021-01-01 00:54:00	225	9.70	32.80	-	-	-	-	2.8	북북서	330	1.3	1025.5	-	
2021-01-01 00:55:00	225	9.70	32.80	-	-	-	-	3.2	북서	325	1.4	1025.5	-	
2021-01-01 00:56:00	224	9.70	32.80	-	-	-	-	3.6	북서	310	1.3	1025.5	-	
2021-01-01 00:57:00	223	9.70	32.80	-	-	-	-	2.8	서북서	302	1.4	1025.5	-	
2021-01-01 00:58:00	222	9.70	32.80	-	-	-	-	4.7	북북서	342	1.3	1025.5	-	
2021-01-01 00:59:00	220	9.70	32.80	-	-	-	-	4.5	북북서	333	1.4	1025.5	-	
2021-01-01 01:00:00	220	9.70	32.80	-	-	-	-	5.6	북북서	330	1.4	1025.3	-	
2021-01-01 01:01:00	219	9.70	32.80	-	-	-	-	5.8	북북서	331	1.4	1025.3	-	
2021-01-01 01:02:00	217	9.70	32.80	-	-	-	-	5.1	북서	320	1.4	1025.5	-	
2021-01-01 01:03:00	217	9.70	32.80	-	-	-	-	5.0	북서	321	1.4	1025.5	-	
2021-01-01 01:04:00	216	9.70	32.80	-	-	-	-	5.2	북서	308	1.4	1025.5	-	
2021-01-01 01:05:00	216	9.70	32.80	-	-	-	-	3.6	북서	308	1.4	1025.5	-	
2021-01-01 01:06:00	215	9.70	32.80	-	-	-	-	4.5	북서	311	1.4	1025.5	-	
2021-01-01 01:07:00	213	9.70	32.80	-	-	-	-	4.5	북서	325	1.5	1025.5	-	
2021-01-01 01:08:00	213	9.70	32.80	-	-	-	-	5.7	북서	321	1.5	1025.5	-	
2021-01-01 01:09:00	212	9.70	32.80	-	-	-	-	4.8	북서	311	1.5	1025.5	-	
2021-01-01 01:10:00	212	9.70	32.80	-	-	-	-	4.2	북서	321	1.6	1025.5	-	
2021-01-01 01:11:00	211	9.70	32.80	-	-	-	-	3.6	북서	307	1.4	1025.5	-	
2021-01-01 01:12:00	209	9.70	32.80	-	-	-	-	3.7	북서	306	1.4	1025.5	-	
2021-01-01 01:13:00	208	9.70	32.80	-	-	-	-	3.8	북서	306	1.4	1025.6	-	
2021-01-01 01:14:00	208	9.70	32.80	-	-	-	-	3.8	북서	305	1.4	1025.6	-	
2021-01-01 01:15:00	208	9.70	32.80	-	-	-	-	3.8	북서	315	1.4	1025.6	-	
2021-01-01 01:16:00	207	9.70	32.80	-	-	-	-	2.6	서북서	299	1.4	1025.5	-	
2021-01-01 01:17:00	205	9.70	32.80	-	-	-	-	4.0	북서	312	1.4	1025.6	-	
2021-01-01 01:18:00	204	9.70	32.80	-	-	-	-	2.8	북서	304	1.4	1025.6	-	
2021-01-01 01:19:00	202	9.70	32.80	-	-	-	-	3.7	서북서	302	1.4	1025.6	-	
2021-01-01 01:20:00	202	9.70	32.80	-	-	-	-	4.3	북서	318	1.3	1025.6	-	
2021-01-01 01:21:00	201	9.70	32.80	-	-	-	-	4.0	북서	325	1.3	1025.6	-	
2021-01-01 01:22:00	200	9.70	32.80	-	-	-	-	3.8	북서	307	1.4	1025.6	-	
2021-01-01 01:23:00	198	9.70	32.80	-	-	-	-	4.0	서북서	301	1.2	1025.6	-	
2021-01-01 01:24:00	198	9.70	32.80	-	-	-	-	3.2	서북서	291	1.3	1025.5	-	
2021-01-01 01:25:00	197	9.70	32.80	-	-	-	-	3.8	서북서	297	1.1	1025.6	-	
2021-01-01 01:26:00	197	9.70	32.80	-	-	-	-	3.1	북서	313	1.1	1025.6	-	
2021-01-01 01:27:00	196	9.70	32.80	-	-	-	-	2.5	북서	316	1.2	1025.6	-	
2021-01-01 01:28:00	194	9.70	32.80	-	-	-	-	2.9	북서	309	1.3	1025.6	-	
2021-01-01 01:29:00	194	9.70	32.80	-	-	-	-	3.0	서북서	299	1.3	1025.6	-	
2021-01-01 01:30:00	193	9.70	32.80	-	-	-	-	3.9	북서	323	1.4	1025.6	-	
2021-01-01 01:31:00	193	9.70	32.80	-	-	-	-	3.9	북북서	329	1.3	1025.6	-	
2021-01-01 01:32:00	191	9.70	32.80	-	-	-	-	3.1	서북서	302	1.3	1025.6	-	
2021-01-01 01:33:00	190	9.70	32.80	-	-	-	-	2.3	북서	325	1.4	1025.6	-	
2021-01-01 01:34:00	188	9.70	32.80	-	-	-	-	4.8	북북서	336	1.2	1025.6	-	
2021-01-01 01:35:00	188	9.70	32.80	-	-	-	-	5.5	북북서	334	1.4	1025.6	-	
2021-01-01 01:36:00	188	9.70	32.80	-	-	-	-	4.2	북서	325	1.4	1025.6	-	
2021-01-01 01:37:00	185	9.70	32.80	-	-	-	-	4.5	북서	306	1.3	1025.6	-	
2021-01-01 01:38:00	183	9.70	32.80	-	-	-	-	5.5	북서	304	1.1	1025.6	-	
2021-01-01 01:39:00	182	9.70	32.80	-	-	-	-	5.2	북서	314	1.3	1025.8	-	
2021-01-01 01:40:00	182	9.70	32.80	-	-	-	-	4.4	북서	309	1.2	1025.6	-	
2021-01-01 01:41:00	182	9.60	32.90	-	-	-	-	4.0	북서	312	1.1	1025.6	-	
2021-01-01 01:42:00	179	9.60	32.90	-	-	-	-	4.7	서북서	302	0.9	1025.6	-	
2021-01-01 01:43:00	179	9.60	32.90	-	-	-	-	4.2	서북서	294	0.9	1025.6	-	
2021-01-01 01:44:00	178	9.60	32.90	-	-	-	-	3.1	북서	310	1.1	1025.6	-	
2021-01-01 01:45:00	176	9.60	32.90	-	-	-	-	3.8	북서	308	1.2	1025.6	-	
2021-01-01 01:46:00	176	9.60	32.90	-	-	-	-	3.4	북서	309	1.2	1025.6	-	
2021-01-01 01:47:00	174	9.60	32.90	-	-	-	-	4.5	북북서	327	1.1	1025.5	-	
2021-01-01 01:48:00	173	9.60	32.90	-	-	-	-	3.7	북서	305	1.2	1025.6	-	
2021-01-01 01:49:00	173	9.60	32.90	-	-	-	-	4.1	북서	314	1.2	1025.6	-	
2021-01-01 01:50:00	172	9.60	32.90	-	-	-	-	4.3	북서	323	1.2	1025.6	-	
2021-01-01 01:51:00	172	9.60	32.90	-	-	-	-	3.6	서북서	303	1.1	1025.8	-	
2021-01-01 01:52:00	171	9.60	32.90	-	-	-	-	4.1	북서	324	1.3	1025.6	-	
2021-01-01 01:53:00	170	9.60	32.90	-	-	-	-	3.4	북서	313	1.2	1025.8	-	
2021-01-01 01:54:00	169	9.60	32.90	-	-	-	-	3.8	서북서	296	1.1	1025.8	-	
2021-01-01 01:55:00	168	9.60	32.90	-	-	-	-	4.1	서북서	302	1.2	1025.8	-	
2021-01-01 01:56:00	168	9.60	32.90	-	-	-	-	3.9	북서	312	1.2	1025.8	-	
2021-01-01 01:57:00	165	9.60	32.80	-	-	-	-	3.2	북서	314	1.3	1025.8	-	
2021-01-01 01:58:00	164	9.60	32.80	-	-	-	-	3.1	서북서	302	1.2	1025.8	-	
2021-01-01 01:59:00	164	9.60	32.80	-	-	-	-	3.2	북북서	332	1.1	1025.8	-	
2021-01-01 02:00:00	163	9.60	32.80	-	-	-	-	4.9	북북서	333	1.1	1025.8	-	
2021-01-01 02:01:00	163	9.60	32.80	-	-	-	-	2.1	서북서	289	1.0	1025.8	-	
2021-01-01 02:02:00	161	9.60	32.80	-	-	-	-	2.9	서북서	293	0.9	1025.8	-	
2021-01-01 02:03:00	159	9.60	32.80	-	-	-	-	3.2	서북서	298	0.7	1025.8	-	
2021-01-01 02:04:00	158	9.60	32.80	-	-	-	-	3.5	서북서	297	0.7	1025.8	-	
2021-01-01 02:05:00	156	9.60	32.80	-	-	-	-	2.3	서북서	287	0.7	1025.8	-	
2021-01-01 02:06:00	156	9.60	32.80	-	-	-	-	2.9	북서	313	0.7	1025.8	-	
2021-01-01 02:07:00	156	9.60	32.80	-	-	-	-	3.4	서북서	302	0.7	1025.8	-	
2021-01-01 02:08:00	155	9.60	32.80	-	-	-	-	2.0	서북서	293	0.6	1025.8	-	
2021-01-01 02:09:00	154	9.60	32.80	-	-	-	-	2.6	북서	307	0.6	1025.8	-	
2021-01-01 02:10:00	152	9.60	32.80	-	-	-	-	2.5	서북서	297	0.6	1025.8	-	
2021-01-01 02:11:00	152	9.60	32.80	-	-	-	-	2.4	서북서	301	0.6	1026.0	-	
2021-01-01 02:12:00	152	9.60	32.80	-	-	-	-	3.1	북서	306	0.8	1025.8	-	
2021-01-01 02:13:00	149	9.60	32.80	-	-	-	-	3.0	서북서	293	0.7	1025.8	-	
2021-01-01 02:14:00	148	9.60	32.80	-	-	-	-	3.9	서북서	293	0.6	1026.0	-	
2021-01-01 02:15:00	147	9.60	32.80	-	-	-	-	2.6	서북서	294	0.6	1026.0	-	
2021-01-01 02:16:00	147	9.60	32.80	-	-	-	-	2.7	서북서	298	0.7	1026.0	-	
2021-01-01 02:17:00	147	9.60	32.80	-	-	-	-	2.8	북서	308	0.7	1026.0	-	
2021-01-01 02:18:00	145	9.60	32.80	-	-	-	-	2.8	서북서	299	0.6	1026.0	-	
2021-01-01 02:19:00	144	9.60	32.80	-	-	-	-	2.2	서북서	287	0.6	1026.0	-	
2021-01-01 02:20:00	143	9.60	32.80	-	-	-	-	2.3	서북서	295	0.6	1026.0	-	
2021-01-01 02:21:00	143	9.60	32.80	-	-	-	-	2.6	서북서	288	0.6	1026.0	-	
2021-01-01 02:22:00	143	9.60	32.80	-	-	-	-	2.3	서북서	291	0.6	1026.0	-	
2021-01-01 02:23:00	140	9.60	32.80	-	-	-	-	2.9	서북서	302	0.8	1026.0	-	
2021-01-01 02:24:00	139	9.60	32.80	-	-	-	-	2.3	북서	308	0.8	1026.0	-	
2021-01-01 02:25:00	138	9.60	32.80	-	-	-	-	3.0	북서	307	0.8	1026.0	-	
2021-01-01 02:26:00	138	9.60	32.80	-	-	-	-	2.7	서북서	301	0.7	1026.0	-	
2021-01-01 02:27:00	137	9.60	32.80	-	-	-	-	2.0	서북서	296	0.6	1026.0	-	
2021-01-01 02:28:00	135	9.60	32.80	-	-	-	-	1.7	서북서	295	0.6	1026.0	-	
2021-01-01 02:29:00	134	9.60	32.80	-	-	-	-	2.2	서북서	295	0.6	1026.0	-	
2021-01-01 02:30:00	134	9.60	32.80	-	-	-	-	2.1	서북서	294	0.7	1026.0	-	
2021-01-01 02:31:00	134	9.60	32.80	-	-	-	-	2.4	북서	306	0.7	1026.0	-	
2021-01-01 02:32:00	133	9.60	32.80	-	-	-	-	2.5	서북서	303	0.7	1026.0	-	
2021-01-01 02:33:00	131	9.60	32.80	-	-	-	-	2.0	서북서	299	0.7	1026.0	-	
2021-01-01 02:34:00	129	9.60	32.80	-	-	-	-	2.6	서북서	300	0.6	1026.0	-	
2021-01-01 02:35:00	129	9.60	32.80	-	-	-	-	2.2	서	281	0.6	1026.0	-	
2021-01-01 02:36:00	129	9.60	32.80	-	-	-	-	2.7	서북서	294	0.6	1026.0	-	
2021-01-01 02:37:00	127	9.60	32.80	-	-	-	-	1.8	서북서	293	0.6	1026.0	-	
2021-01-01 02:38:00	127	9.60	32.80	-	-	-	-	3.0	서북서	288	0.6	1026.0	-	
2021-01-01 02:39:00	126	9.60	32.80	-	-	-	-	2.4	서북서	301	0.7	1026.0	-	
2021-01-01 02:40:00	123	9.60	32.80	-	-	-	-	2.7	서북서	294	0.7	1026.1	-	
2021-01-01 02:41:00	125	9.60	32.80	-	-	-	-	2.7	서북서	302	0.7	1026.1	-	
2021-01-01 02:42:00	125	9.60	32.80	-	-	-	-	2.2	서북서	296	0.6	1026.0	-	
2021-01-01 02:43:00	121	9.60	32.80	-	-	-	-	2.5	서북서	299	0.6	1026.1	-	
2021-01-01 02:44:00	119	9.60	32.80	-	-	-	-	2.1	서북서	295	0.6	1026.1	-	
2021-01-01 02:45:00	120	9.60	32.80	-	-	-	-	1.7	북서	306	0.6	1026.1	-	
2021-01-01 02:46:00	117	9.60	32.80	-	-	-	-	2.7	북서	313	0.6	1026.1	-	
2021-01-01 02:47:00	117	9.60	32.80	-	-	-	-	2.6	서북서	298	0.7	1026.1	-	
2021-01-01 02:48:00	116	9.60	32.80	-	-	-	-	2.0	서북서	301	0.7	1026.3	-	
2021-01-01 02:49:00	116	9.60	32.80	-	-	-	-	2.7	서북서	301	0.7	1026.3	-	
2021-01-01 02:50:00	115	9.60	32.80	-	-	-	-	2.4	북서	314	0.7	1026.3	-	
2021-01-01 02:51:00	113	9.60	32.80	-	-	-	-	2.0	서북서	295	0.7	1026.3	-	
2021-01-01 02:52:00	113	9.60	32.80	-	-	-	-	2.8	북서	313	0.7	1026.3	-	
2021-01-01 02:53:00	112	9.60	32.80	-	-	-	-	2.5	서북서	297	0.9	1026.1	-	
2021-01-01 02:54:00	111	9.60	32.80	-	-	-	-	2.7	북서	305	1.0	1026.1	-	
2021-01-01 02:55:00	110	9.60	32.80	-	-	-	-	2.9	북서	321	0.9	1026.1	-	
2021-01-01 02:56:00	110	9.60	32.80	-	-	-	-	2.6	서북서	301	0.9	1026.1	-	
2021-01-01 02:57:00	110	9.60	32.80	-	-	-	-	3.4	북서	309	0.7	1026.1	-	
2021-01-01 02:58:00	106	9.60	32.80	-	-	-	-	2.7	서북서	302	0.9	1026.1	-	
2021-01-01 02:59:00	106	9.60	32.80	-	-	-	-	3.4	서북서	288	0.8	1026.1	-	
2021-01-01 03:00:00	105	9.60	32.80	-	-	-	-	2.9	서북서	294	0.7	1026.1	-	
2021-01-01 03:01:00	104	9.60	32.80	-	-	-	-	3.7	서북서	290	0.7	1026.3	-	
2021-01-01 03:02:00	104	9.60	32.80	-	-	-	-	2.8	북서	312	0.8	1026.3	-	
2021-01-01 03:03:00	103	9.60	32.80	-	-	-	-	2.5	서북서	295	0.7	1026.3	-	
2021-01-01 03:04:00	102	9.60	32.80	-	-	-	-	2.7	서북서	288	0.7	1026.3	-	
2021-01-01 03:05:00	102	9.60	32.80	-	-	-	-	2.9	북서	309	0.7	1026.3	-	
2021-01-01 03:06:00	101	9.60	32.80	-	-	-	-	3.1	북서	306	0.7	1026.3	-	
2021-01-01 03:07:00	101	9.60	32.80	-	-	-	-	2.9	북서	318	0.9	1026.3	-	
2021-01-01 03:08:00	100	9.60	32.80	-	-	-	-	3.0	서북서	299	0.8	1026.3	-	
2021-01-01 03:09:00	98	9.60	32.80	-	-	-	-	2.3	북서	305	0.8	1026.3	-	
2021-01-01 03:10:00	98	9.60	32.80	-	-	-	-	3.8	북서	310	0.9	1026.3	-	
2021-01-01 03:11:00	98	9.60	32.80	-	-	-	-	3.0	북서	322	0.7	1026.3	-	
2021-01-01 03:12:00	98	9.60	32.80	-	-	-	-	3.4	북서	325	0.9	1026.3	-	
2021-01-01 03:13:00	96	9.60	32.80	-	-	-	-	2.5	서북서	294	0.9	1026.3	-	
2021-01-01 03:14:00	94	9.60	32.80	-	-	-	-	3.7	북서	322	0.9	1026.3	-	
2021-01-01 03:15:00	93	9.60	32.80	-	-	-	-	2.4	북서	315	1.0	1026.3	-	
2021-01-01 03:16:00	93	9.60	32.80	-	-	-	-	2.7	북서	312	0.9	1026.1	-	
2021-01-01 03:17:00	93	9.60	32.80	-	-	-	-	2.3	북서	306	0.9	1026.3	-	
2021-01-01 03:18:00	92	9.60	32.80	-	-	-	-	4.1	북서	323	0.9	1026.3	-	
2021-01-01 03:19:00	90	9.60	32.80	-	-	-	-	3.8	북서	310	1.0	1026.3	-	
2021-01-01 03:20:00	88	9.60	32.80	-	-	-	-	3.8	서북서	302	0.9	1026.3	-	
2021-01-01 03:21:00	88	9.60	32.80	-	-	-	-	2.4	북서	308	1.0	1026.3	-	
2021-01-01 03:22:00	88	9.60	32.80	-	-	-	-	3.4	북서	305	1.1	1026.3	-	
2021-01-01 03:23:00	87	9.60	32.80	-	-	-	-	3.4	북서	316	0.8	1026.3	-	
2021-01-01 03:24:00	85	9.60	32.80	-	-	-	-	3.0	북서	320	0.9	1026.3	-	
2021-01-01 03:25:00	85	9.60	32.80	-	-	-	-	3.9	북북서	334	0.7	1026.3	-	
2021-01-01 03:26:00	84	9.60	32.80	-	-	-	-	3.5	북서	314	0.8	1026.3	-	
2021-01-01 03:27:00	84	9.60	32.80	-	-	-	-	2.8	서북서	303	0.9	1026.3	-	
2021-01-01 03:28:00	83	9.60	32.80	-	-	-	-	2.9	북서	323	0.7	1026.3	-	
2021-01-01 03:29:00	82	9.60	32.80	-	-	-	-	3.4	북북서	328	0.8	1026.5	-	
2021-01-01 03:30:00	81	9.60	32.80	-	-	-	-	2.7	북북서	331	1.0	1026.5	-	
2021-01-01 03:31:00	81	9.60	32.80	-	-	-	-	3.1	북북서	327	1.0	1026.5	-	
2021-01-01 03:32:00	81	9.60	32.80	-	-	-	-	3.8	북북서	328	0.9	1026.3	-	
2021-01-01 03:33:00	79	9.60	32.80	-	-	-	-	3.6	북서	315	0.8	1026.3	-	
2021-01-01 03:34:00	79	9.60	32.80	-	-	-	-	2.4	북서	306	0.8	1026.5	-	
2021-01-01 03:35:00	78	9.60	32.80	-	-	-	-	2.7	북서	318	0.9	1026.5	-	
2021-01-01 03:36:00	78	9.60	32.80	-	-	-	-	3.0	서북서	303	0.8	1026.5	-	
2021-01-01 03:37:00	78	9.60	32.80	-	-	-	-	3.6	북북서	327	0.9	1026.5	-	
2021-01-01 03:38:00	78	9.60	32.80	-	-	-	-	3.4	북서	321	0.9	1026.5	-	
2021-01-01 03:39:00	76	9.60	32.80	-	-	-	-	3.2	북서	313	0.9	1026.5	-	
2021-01-01 03:40:00	75	9.60	32.80	-	-	-	-	2.8	북서	310	0.9	1026.5	-	
2021-01-01 03:41:00	75	9.60	32.80	-	-	-	-	2.7	북서	319	1.0	1026.5	-	
2021-01-01 03:42:00	75	9.60	32.80	-	-	-	-	2.4	북서	304	0.9	1026.5	-	
2021-01-01 03:43:00	75	9.60	32.80	-	-	-	-	2.7	서북서	293	0.8	1026.5	-	
2021-01-01 03:44:00	73	9.60	32.80	-	-	-	-	2.7	북서	309	0.9	1026.5	-	
2021-01-01 03:45:00	72	9.60	32.80	-	-	-	-	2.2	서북서	300	0.9	1026.5	-	
2021-01-01 03:46:00	70	9.60	32.80	-	-	-	-	2.2	서북서	301	0.8	1026.5	-	
2021-01-01 03:47:00	70	9.60	32.80	-	-	-	-	3.2	북서	313	0.8	1026.5	-	
2021-01-01 03:48:00	70	9.60	32.80	-	-	-	-	1.9	서북서	304	0.8	1026.3	-	
2021-01-01 03:49:00	68	9.60	32.80	-	-	-	-	3.1	북서	325	1.0	1026.3	-	
2021-01-01 03:50:00	67	9.60	32.80	-	-	-	-	2.9	북서	321	0.9	1026.3	-	
2021-01-01 03:51:00	66	9.60	32.80	-	-	-	-	2.4	서	275	0.8	1026.3	-	
2021-01-01 03:52:00	66	9.60	32.80	-	-	-	-	2.0	서	280	0.8	1026.3	-	
2021-01-01 03:53:00	65	9.60	32.80	-	-	-	-	1.7	서북서	303	0.8	1026.3	-	
2021-01-01 03:54:00	65	9.60	32.80	-	-	-	-	2.5	북서	306	0.7	1026.3	-	
2021-01-01 03:55:00	63	9.60	32.80	-	-	-	-	2.5	서북서	303	0.7	1026.5	-	
2021-01-01 03:56:00	64	9.60	32.80	-	-	-	-	2.0	서북서	292	0.7	1026.5	-	
2021-01-01 03:57:00	63	9.60	32.80	-	-	-	-	2.5	북서	310	0.6	1026.5	-	
2021-01-01 03:58:00	63	9.60	32.80	-	-	-	-	3.1	서북서	287	0.6	1026.5	-	
2021-01-01 03:59:00	62	9.60	32.80	-	-	-	-	2.0	서북서	293	0.7	1026.3	-	
2021-01-01 04:00:00	61	9.60	32.80	-	-	-	-	2.6	북서	318	0.8	1026.3	-	
2021-01-01 04:01:00	61	9.60	32.80	-	-	-	-	1.9	서북서	289	0.7	1026.3	-	
2021-01-01 04:02:00	60	9.60	32.80	-	-	-	-	2.0	서북서	288	0.7	1026.3	-	
2021-01-01 04:03:00	60	9.60	32.80	-	-	-	-	1.5	서북서	293	0.7	1026.3	-	
2021-01-01 04:04:00	59	9.60	32.80	-	-	-	-	1.4	북서	304	0.6	1026.3	-	
2021-01-01 04:05:00	58	9.60	32.80	-	-	-	-	1.7	북서	309	0.6	1026.3	-	
2021-01-01 04:06:00	58	9.60	32.80	-	-	-	-	1.7	서북서	303	0.6	1026.3	-	
2021-01-01 04:07:00	57	9.60	32.80	-	-	-	-	2.4	북서	313	0.6	1026.3	-	
2021-01-01 04:08:00	57	9.60	32.80	-	-	-	-	2.4	북서	317	0.8	1026.3	-	
2021-01-01 04:09:00	56	9.60	32.80	-	-	-	-	1.8	북서	313	0.9	1026.3	-	
2021-01-01 04:10:00	56	9.60	32.80	-	-	-	-	2.0	북서	310	0.9	1026.3	-	
2021-01-01 04:11:00	55	9.60	32.70	-	-	-	-	2.7	북서	317	0.9	1026.3	-	
2021-01-01 04:12:00	54	9.60	32.80	-	-	-	-	2.2	북서	320	1.0	1026.3	-	
2021-01-01 04:13:00	54	9.60	32.80	-	-	-	-	2.3	북서	310	0.9	1026.3	-	
2021-01-01 04:14:00	52	9.60	32.80	-	-	-	-	2.4	서북서	299	1.0	1026.3	-	
2021-01-01 04:15:00	51	9.60	32.80	-	-	-	-	2.7	북서	304	0.8	1026.3	-	
2021-01-01 04:16:00	51	9.60	32.80	-	-	-	-	2.8	서북서	295	0.8	1026.3	-	
2021-01-01 04:17:00	50	9.60	32.80	-	-	-	-	2.3	북서	318	0.8	1026.3	-	
2021-01-01 04:18:00	50	9.60	32.80	-	-	-	-	2.3	서북서	299	0.8	1026.3	-	
2021-01-01 04:19:00	49	9.60	32.80	-	-	-	-	2.5	서북서	285	0.7	1026.3	-	
2021-01-01 04:20:00	48	9.60	32.80	-	-	-	-	2.3	북서	311	0.8	1026.3	-	
2021-01-01 04:21:00	47	9.60	32.80	-	-	-	-	2.2	북서	307	0.8	1026.3	-	
